sequence,stack_depth,count
()()()(()())()()(())()()((()()))()(())()()(())(())()()(()(()(())(())(()()()))())((()(()())()((((((((((()()()))))()()())()))()))((()((()((()(((())(()())(()))(())(()))))()()(()((())()))(()((()(()(()))()()())()((()(()))))(((()))()((()())))())()))()()()(((())))((()((((()())))(()))()())))(()))()(()())((()())()(((((())((()((())())))))))))()))()()(())(())(())((()()()))()()(()())(()((((((()())()()(())())))(()())((())))(((()(()())()))())()))()((())()()()((((()))((((())((()))()((((()()()()()((()))((())))))())))())))),13,0
((((()())()(((()())()))(()(((()))())()()()())))((((()(((()(()))((((((()()()))))((((((())))()())(())((((())))((())((()(((())))))()))((((((()())(()())((((()(((()()(())()))(()()))))(()))((())()()())))(()(())(((()((())()(()(()((()())())(()((((((()))(((())))()((((((((((((((((((()()()()()()()()()()()()()())(()()()())()))())))))))))())))(())()(()()(((()()()()((((((((((()()(()()()))()))())((())))()((()())())))())())(((())))(()(()())((()))()())((((()((((()())))))(())))()(())())(())))))))))))))))))))))))))))))))))))),46,0
(()())(((((((((()()))))(((((()()())))))())(())))))()()((())((())()(((())((()(()(()()((()))(()())))(()()(()(((((((())))()())))(())))(()()((()((()(((())))(()))((())((((()))()()))((())))((()(((()))))())(((()())(()((((())((()))()(())))(((())())))())))))()))(()())))()))(((()((())))(((()(()())()))((((((((((((((((((((((((()()()()())()()))))))())()()())))(()(()()((((()())()(()())))())(()((()((()())(()()()(((()()))()))(()(()())()(()())()))))((()(()(())(()(())()())()()))()(()()((()))())())((())))))))))))))))))))))))),31,0
((()))))(())(()))())))()(()(()))()))))()))()(())()))(()(((()))()))())())))()(())())())))))))))()()))())(()((())))))())(())()())(()(())())(()(()(()((((((()(()(()(()))())()())()(((()(())(()()))))(((()()))(()()())())))(()()))()))()(()))((()()))((()(())())))))))((()())(()()))()))()()))(())())((())()((())(((((()(())(()((()))(((())))((()))(())))))))))()()(()))))((((())(((((())(())(()))))))(()))))()(((()))()))((())()()(())(()(()))(((()))))())()())))())(())(((())((((()(())(((())())())((()(()))))()(())(((()())))(()(,-3,-46
()(())(())((((()()()))))(()((((()))))(((()(()(())(((((((()())))(()(((()())())(()())()()))(())))())))((()())((((((())())(((()))))())()()))((((()(()))((()))(()((()((()()()())())(()())()(()()())(())))))))())))()))()()()()(((())()()(((()))))(())())()()()((())()((((((((((((((())(()))(())(()))((()(()()()())(())(()()()())()(())))())()(((())()()()())(()((()()()()()))((()()))((()()()))(()))))()))))()())))(()))())())()(()()((((())(())()))(()((((()()())))))(((()((()))(((()()()(())())))()(())()))))(())((())))()()(())(),16,0
()(()())()()()((()(())))()(())()()()((()(()(()))(())()))((()(()))()(()(()(()())())())()(((())(())((())))()))(()())(()())((())((()())))((())())()()()(((()))())()()()(()())()(()(())())()()(())()((((())))()())()((()))((())())((()(()((()(()((((()()()())))(()()((()()())()((())((())()))))()((())()()()(((((((((((((((((((((((((((((()()()()())))())())()((()()))))()())((()))()())))))()))(()()(((())())))()))(())((()))))(((()((()))))(())))))((((())((()))(())()(((()())())())()))()))))()(()(()))((()((()())))))))))))))))),38,0
(((((()()))))())()()()()()(((()()()()((((())(()()())()())()())()(())())))((()())))((()))(()((()()())))()()((()()(()))()(()))((()()()))(())()()()(((())))(((((())())())()(())()(())())(()()()()((()))(()()((((()()())()())(()))))()()()()()())())((((()(()))())())()(())(((())()())(())))()()()(((((((()()))((())))(()(()))))(((())((()(()())()(()()())()))(((()()()))())(((()()())())(()(()())(()))())()))()())()())()(((())))()()(()())(()((()()())()((()())))())()()()()((()((())))())()()((())())()()()()()(()()()()())()(()),8,0
((()())((())))()())())((((()((((((())())(()(((())))()))(((((()(((((((()(((())))((((((((((())(()()())))(()((()()(()(()(()()((((()()()(()()(((())())()()(()(()())(()(()(())(()())()()((())()((()()(((())()()))()))))()(()))(()(())))(()()(()()((())())(((()()))()()))()()())())))))()(())()()()))(((()())))))()()(((())())()(()(()))((()(())()(((((())((((((()(()))())((()))()()(((((((())(((())))()()))(())())((())(())())(((((()(((())))))(()())(())(((()(((()))))(((()((()()(()()())()()))((()((()))))(()((()()(())))()))((())),-4,48
()()())))()(())()))())()))())())()((())))))())()))))))))((()()(()()()())(()())()(()()))))(((())()(())))(((()(((()()((()))())()())))(()()()())((()((()(()))())()()))(((())))))())()((()((((()()))(()()()())())))(((()(((()((()()()()()()))(())))(())((()(()())((()((())()()()())))))((()()))()(()()(())(((((((()))))())()((()))()()(()))))(((((()())))))(()((()(()))))())))())))(()())((())(()))))()(((())()())))))(()()))()))()()))))()(((()(()()()))())(())))))))((())))())()()))()((()()))())))((((((()()())())())))(((())((((,-1,-42
()(()((()))())(())()()(())()()()()()()()()()(())()()(())()()(())(())((()))()((())(())(()))(((()()()()(())())()())()())(()(()(()())))()((())(()))(((()))()(((()(()((((()(())((()))(()())())((()()))()))(())((())(())()((()))))((()((()())(())((()()()(()))(()))()()()()((((())()(())(())(((((((((((((((((((((((((((((((((()()()()()()))))))))))())))(()(()))((((()(()(())(()(()))(((()(())))())))(((()))))()((())(((())())(((()())))))))(((()(((())))()()((()))()))()())))((())()())))(((((((())))))))))))))))))))))))))))))))))),45,0
