sequence,stack_depth,count
()((())))((()()))()(()))())(()(()()(()()()))))((((()())()(()((()())(((()(()(())(((())())(()()((((((()()()(()())(())()())())()(((((())((())(())()(()(()()((())))((((()))())()())))(()((((())()(()(()))))))()()((()()()((())((()))(()())((()))))))())))())()()()))))))(((()()))((())((()(())()((())())((())(()((())()()(())((()))(((()()(((()((()())())))(((((())())))))))(((()())()())())(()))((())(()(()(()(()()()))((()))()))()))))))())()(())(())()()))))()()(((()))))((()((()))()()()()()()(()())((()()))(()(()()))))))))())(,-3,-4
()((((())(())))())()(((((((()(()))())))())(()))()()())((()))((()()))(()())(()())()((()))()()(()()(()((()))))()()((()(()()()(()()()))(()(((())()((())()())()((()))()()((()())()())(()()()))))(()(((()))(((((()()((((((()()()()()()()))(())()()())))()()))(()))())())())()(()()(())((((()()(())()()))(()()()(()()))(()(())(()(()))((()))(()))((()(()()))(()()))))()()(()()()())(())()(((())()))))(()(())()))))(())()()()()()()()(()())()()(()())()()()()(())((()))(()())()()(()())((((()()())(()))()))()((())())(())(())()()()(()),16,0
(((((()(())()()()(()(()((()()()((((()()((())())())()()()))((()(()))())()))()((())(())(())(()))))((()((()(())((()(()))()))()(())(()()((())(())()()))(((()))()()((())((()()(()(()))))(())))(())(())()))()())))((()))))(()()((((()))))()()(())()(())()(((()))()(())(((()())()))())))(((())))()()))())))()()()(())()()())))))(()))(((()(((((())(()(()))))))((()()())(())()))))(()((())()))))())((())(())()))(((())(())(())(()(((((()))()())()(())(((()((())(()(()((((()(())(())()()))())((()())(((((()))()()(()((())())))()()())(((),-16,2
(())(((())))((()(())())())()()()()()()()()()()(()((())))(())()()(()(()())(()))()((())(()))((()(()())()))()((()()())())()()()(((())(()())))((()(()()))())()(((()()()()())))()((()()))(((())(()()()())())(()))(())(()(()(())))()((()(()()()())(())()(()()))()())((()())(()()()))()()()()()(((())(()()()()))((()()()()())))()()(())()()()()(((()()())(())()))(((())(()())))()(()((()()())(()()()()()()()())))(())((()))()(())()(())()()()()(()()(())((()()())(()()()()()))())()()()()(()()())(((()()()()))())()()(()()())()((()())),4,0
((()()))()())))()((()))))()))(()()(()))()()())))((((())(()))((())))((())(())())(())())()((((()))()(()()())()))))())((()))()))((()((((()()()((())(()(()((())())((((()()((())))))(()()((((((())))()(())))()))(()()()()(((()))())()((())))(((()))((()(()()())()())))((()())())))(()()()))))))((())))())(()))((())((())()()())()))))()()((()()((((()(()()((())())((())))(())()(())(())(()))((()(())((()((()())())()(())((())())((()))(()(((()(()((((()())))((()())(((())()))))))))())(()())(()())())()(())()()())(()(())()(((((((()(,-3,-2
((())()))))())(()()(())))((())((())())()(()(()(()()))(((()()))(())()()((()()((())))))))((()((()((())())(()))(((())(()((()(())(())(()))(()())()())()))())()()(()())())))((()(()(((((()))()()))()))()())())))()))))())((()(())(()((()(()())(()((()((((((((()(()))))))(())())((()(())))(())()))()()(())))(()()()()(()(())(()))))))((()()(()())))(()(()()))(()))((()((((())((()()()()))()((()(()))))())(()()())(((())((()))(())())((((())())(())))()())((())(()())()(()))))))))()()(((()(()()((()(()())()(()))()(())((()(())))()((((,-3,-4
()))(()(((()()))(()(()))((((()()(())((()())()(())(())(())((()(())()(()())(()()(())()())()))))()(()))()(((()))(())))))(()))(()(()(())())((())))))((()(()(()))))())()()()()(()()((())()()()(()((()))()())()))))()(())))((())())))(())))((()()()(((((())()((())()((())((()()))()))))((()))))())()(((()((((())())))((())((()(()))(()))(())(((((()((()()()())((()())())())))())()))()))))(()))((()(())()(((()()))()()(())))())))()(((()(()(())()())((())))((((((((()((())))))()()()()())(()))))(()((()))(()(()))()()((((()(()()((())(,-1,-4
()(((())()()))()()(())(())(()(((()())()))((()())))(()((((()))()()()()(((()())(()()((())(((((()(())(()())(((((()())()())()))))(())))(()(((())(((()((())))())(()((()())))()))()))))()(((()()))()(()))(()()())((((((()))((()())(((((((((((((((((((((((((()()()()()())(()())(())(()())(())))()))()(((()()())())(()()()((()(())(()))()()))))()()(())()()(()(((())))(()()(()(())))))())))))((())()(()))(()(((((((())((()(()()(()))((())((()())))())()((()((())(()()())))()))()(((()))))((((())(())))))())))))))))))))))))))))))))))))),38,0
()))))(()()))())()())(((((((())()))((()((())()()))())(()())(()()))))(())))))())((()())((())(())()(()())((()((()(((()((()))()()()((()(()()))((()(())))))())))()())((()())))))))())())()))(()()())((())()())()((()(()()))))(()((()())()))()()())())(()))(()())((())))(())(((((()(((())()()()()(())(((((((()((())())(()())()))((()((())))))()()(((()()((()()((()(()()((())((())))))()((((())()(()(((())))())()))(()((()(())))()()((()()(()(((()()()((()(()(())()))()))))(()(()()()()(())()(()((()))()())))(()))()())()()()()())))(),-1,-4
())())())))))))(()()(((((()(())((((()())))((((((()(((((((()))))))((((((())()(()()))()(())((()))))())()()())((()()))))(()))))()()(((()))()))(((()()))(((((()())()()()()())()))()()())())))())))((((()))))(()))()())(()()))()(()()(()(()))((())))(())()()(()))))))()))(()((())(()((())(())(((())))()(((())()(((())((())()()()((()(()((((()))()(()(()(())()))))))(()(()()()((((()()))()))())(())))))()(()))))((())(()((()))((()))))))))(()(((((())()(()(())()()())(()))()()()()((())())(((((((((((()))()(()))())())))((()(()()((()),-1,-4
