sequence,stack_depth,count
((((()()()())()((())(()))(())()())))()(((((()(()(((())())((())())()(())((()))))))))),10,0
(())()()(()())()()(()()(()))()(())(()()()()())()()()((((()(((()))(())))))),8,0
(()()())((()))((((((((((()))))))()))(()(((())(((()(())(((()))))))))))),12,0
((((())())())(((((((()()()(()())()(()()()()((())())()((((()()()))))))())((())))))))),14,0
(())(()())()()()((()())(((())((((())(())())()))()(())))())()((()()())),8,0
(((((())))(()()()())))()()()()(())(())()(((()(()()))()()())((()))((()(((()(())())))))),8,0
(()(()((()())())((()()((())))()((()))((()))())((()()())()))())()(),7,0
()(()(()(()((()(()(()((())())()()())((((())))()))()))((())((()))))()))(),11,0
()((())(()))()((()()))()()(())((()(())()))()((()())())()(())(()(((()))())(()()))(()()()),5,0
()((()))()()()()()((()(()))(()(())))()()(()((()()(())()))(())),5,0
(())()(())()((()((())))(())())()()(((((()((())()))))(())))()(()()())()(),8,0
((()))()(((()(((((()))(((()(((())((()((()())()(()))))))))))))))),16,0
((())()()())(())(((()())))()((((((()()))()(()()())(())))((()))()((()()())()))),7,0
((((())((()))))((())))()((((((())(()))))((()()))))((((())))),7,0
()((()))((()()(((()((()()))(()(()()))(()()))))())())()((()(()()()))),8,0
((()))(()((((()(()(((((((()(((())))()())(()))()()()((((()(((())))))))))))))))))),19,0
(()())()(())(((()(())((()(())(()()(()(()))()()()))())))),9,0
(((())(((())((((())()()()())()())())))()(()((((((()()(()))()(((())(()(()()()()))())))))))))),13,0
()()()(()())(((((())((()())()()()())()))))(((((())())))),7,0
()()((((()(()))((()))())))(())(()((()()(((((()))((()(()))))))))),10,0
(()(()))((()(()))())()()((())(()(())))()()()(())(()(())(((()(())(()((()((((())())))))))))),12,0
()(((())))()()()(()(((()))())((()((()(())))(()(()()((((())))))(())())))())()((((()()(())))(()))),10,0
(())()(())(()()(()))((())(()()()()()()())()(())()(())((()))()),4,0
()(((()())((((((()))((((()))()()))()))))()))((((()((()())))((()(()()((()))()(((((()()))))))))))),12,0
()(()()(()()(()(((((()((()())()())))((())))()((())((((()()))())(()(()()))))))))),11,0
()()((()))((())())()()(((()())(()()()(())))((())(())((()))(())(()()())))(())()()()((()((()(()()))))),6,0
()()(()(())(((())))(()((())())())())((((()((()(())((()()()))((())(()(((()()))))(())())((())))))))),12,0
()(())()()((()((()()()((((()))((())()(()()(()(())))(()(()))))))))),11,0
()(((()(((()()))()()(((()(()(()))()())((((())(((())()()(()((((())))))))))))))))),17,0
()((())(())()()(()()())(()((()))()()((()))))()(())(((()))(()(((()(())))))),7,0
()((()))(())()(())()()()()()(())()()(())(((()()((((()()(())((())())))))))),10,0
()()()((((((())()()((()((()(())()(()))((()()(()()(()((((())))))))))))))))),17,0
((()()))()(())((((()))()()()))()((()))(()(((())))(()(((((()(()((())())((()))()()())()))))))),11,0
()()()(()())(((())()))()(())(((()()()(()(((()))()()(((())()))()((())()()()(())((())))))))),9,0
()()()((((())))()((())())((()()()()(((()((()(()))))))))),10,0
()()(((()()((((()((()())()))()(()()))()()(())))(()())(())(()))(()()())()()))(),10,0
((()()((((()((()())(()(())))(()())(()))()((((((()))))))))))),12,0
()((((()())()))(()))()()((()((()((()(()())()(()()()))(((()(((()))))))))))),12,0
(()())()()(())()((())())(()())()()(())(()()((()()()))),4,0
()()()()()((((()((((())(()))((()()())()()()()()()()((()))(())))))))),10,0
(())(()()(())()())(((()))())()()(()((()))((()(()))((()))))(())((()())),5,0
()()()()((())((()(())()()((()())(()()((((())())())()((((())()))))))))),11,0
()(()(()())())(())(())()()()((()(()()))(()(()())()()()))()(()())()()(())()((())(())((()))()()),4,0
(())()((()()))()(()())()()(()(()))()()(()()(()((()(()()())())))),6,0
()()()()((()))()(((()((((()))(()())))(())()(((()())()))))),8,0
()()()(((()())()))()()()((((((())())()(((((())(())())))))))),10,0
(()(())((()))()((()()((())()()()((()()))))))()()()(())(())()()(())((())(())),7,0
()()()((()((())))((()(((((((()))(()(((()())))))))))))),13,0
()()((())())(())()(()((((()(())((())))()(((((()(((()(())))())))(())))()()(())))))),14,0
()()()((((()))))(()())(())((()(())))(()()((()((()(()()(()())())((()((())(())(()))))))))),10,0
(()((()))())()(()()())((()(())(((()))))())((())()())()((()(()((((((((((())))(()))))((()))))))))),14,0
(()())()((()()()((()((()()()())(())))))(())()(((()((((())(())))))))),9,0
()((((()(()((())))))()))(((()))(()(()()))())((()(())())()())()()(())(((())()))()((()))()(),8,0
