sequence,stack_depth,count
((((()()(())()))))((()(())))()(()(()))(()(()()))()(((())()()())),6,0
()())()))()((()(())()(())()()(()()))))()((())))())((()(()))())(),-1,-6
(()()(())))())(())(()()))))()(())(()(((())((())(())()(((())((((),-3,4
()()(()())()()(())()()((((()())(())(((((()(()())(())()))())))))),10,0
(()))))))()()())(((())(((()))()()(((((()))(()))))))((((()))(()((,-2,0
()((((())()((())()()(())()((()(((()((())))))(()))()()()(())))))),12,0
((()()()((((()((((((((((()()()()())()(((((())))))))))))))))))))),21,0
((((()))()(())()())))))()()((()))))(((()()(())(((())))()))))())),-5,-8
(()())((()())))((()()(())((()((((()())))((()))((())())((())(()((,-3,8
()((()()(()(()))()(())())(()))((())((())()))()((((())(())(())))),5,0
(()(((()())())))((())((((())((()((((((((()))))()(()()))))))))))),15,0
((((((()()(()()((()))()))()((((()()())))))((())((()()(((((((())),-15,12
()()))(((((()(()(()()()()((())))((()))())(()((()((()(()(()))()(),-1,8
()()()(()())()((()))((((((((())(()(())()()()())(()((())))))))))),11,0
(()(()))()((()))()(()(()))(((())(())(((((((())))())(((())))))))),10,0
()((()(())()))(()())(())((()))()((()())())(()())()()(((((()))))),6,0
()(()())(()(((()()))))(())()()((())())()((((())())()))()(()(())),5,0
(()(()())((()(()((())))(((()(((()()())()))(()()(()))()(((()()))),-10,6
()()()(()(((()())))()(()()(()(()())(((()((()()(()))))()())())))),10,0
()(())()()(((()(((((()(((())((()())))()(((((()())))()))))))))))),15,0
(()())(((((())())(((())())))((((((())(((())(()(((((())()()))())(,-16,12
((()(())))()((((()))((()((((((()()))(()()))))((((()()()))))))))),11,0
(((((()())())((()(())())))()(((((())((())()())))())))(((()(())((,-9,6
(()((()(((())(()())))()(())(()()((()(((((())(()()))(())())())))(,-12,6
(())()()()()()()(()()()(()(((())))())(()))()()()(())((()))()(()),6,0
((()(()))))))()()(((())(((())()())((()))((()))()())))))()((()))(,-4,-4
((()())(((((((()())))))))((()())(()))()()))())((()(()))(())))))(,-9,-4
()))())(()((())()()(()()))))())(()()())())))()((()(((()())())))),-1,-8
()()((()))()((())()())((((()()((()))(()))())(((()(()(()()))))))),8,0
()())))())))()((()((())))))))(())))))()(())))(((()())(()())((()),-1,-12
(((()(()))((()())(()))))()()()(()()()(())())(())(()((((()()))))),6,0
()()()()(())(()())()()(()(((()))((((()((())()(((((())))))))))))),13,0
(()()((()))))()()))))()()(()())((())()((((((()(((()(()())())()(),-4,4
((()()()()()()(()))()()))(())(()(((((()()((()))()()))))((()())((,-4,4
()()()(()(())(())()()()(()))(())()(((()))()())()(()((()()()()))),4,0
(((())())(()))(()(())()))()))))))((()((()))(()())))()())())()))),-4,-12
()()()(((())((())((()())))()()))()(()()(()()(()())()())()((()))),6,0
()((()(()))())(())(()((())()()))(()())((())()()()())(())()(()()),4,0
(()((())(((())())))(((()))()((()))(()()())(())())((((((()))))))),8,0
()((((((())((()((()))()(()))()()(())())((()()(()))()()))(()))))),10,0
()()()((()))(((())()))((()))(()((()()())(((())))((((())(())))))),7,0
()())))(((())((())))())(())))(()))(())(((()((((())))()())(()(()),-1,-2
(())())))(())(()(()))(((()(()(())()()(((()())())))))()(((())(((),-2,2
(()((())())()((())(())((((((((()(((())())())))()()))))))))((()((,-14,4
()()()()()((()(()(((((((()()(()())))(())())())()()(()(())))))))),12,0
(()(((((()(((((())))())))()(((()(((()()((()())(()))(())))(((()((,-14,14
((())((())))()((())())(())()()((()()))()(())((()()))(())()()()(),4,0
((()(()()(())))((()))())()(())((((()())(()()))())()(()(()))(())),5,0
(()()(((()()())(((())())(()()()()())()((()(()())())())((())))))),8,0
((()())())(((()()()))))())))()())))((())((()())(()()()((())((()(,-4,0
(((((()((())))))))()(())(()(()))(()(((()(((()(())))((())()))((((,-9,8
(()((((()))))))()(((((()((((((((())((((()()(()((((()(())())))()),-6,16
(()(((()))(()))((((((((((()())((()()())))()))((())))()))))()))(),13,0
((())()))(()()(()))(())))(())())()()))((()))()()(())))()(()()()(,-3,-6
()()(())()(()())()()((()(((()((()(())(((()))((()()(()))))))))))),12,0
()()()((()())())()()(()(())((()())()())(())()())(()(()(()())())),4,0
()(((()())))(()()())((()()(((((((())(()())()))())()()(()())))))),10,0
(()))))))))))())(((((((()(()(()))(()))))()))))))(()((()(()())(((,-2,-6
(()))()))()()))))()((((((((()))))(()()()()()(()(())((((((()))))(,-2,2
(())((((())((((((()(()(()((())()(())(())()((((())))))))))))))))),17,0
(()(())()))()()))()()()()((())())))(((())()))())()()()()((())(((,-3,-2
()))))((((((())((((()((())))))))))))))(((((()(()()))())()(()()(),-1,-2
(())(()()()((())())())(()())(()()((()(()()(())()((()((())))))))),9,0
()()((()()(((()(((()))((()))())()))(())(((((((()))((())))))))))),11,0
(()(((()))))()))((()())))))()((())())))(((()((((()()))(())()())),-5,-4
())(((()))(()(()))(()())(())(()()))()(((()(((((())))(())())()))(,-1,2
(((())()((()(()((((()()()()()))(()())()()))))(())()((()())(()()(,-10,6
((((()((())(()((())()))()(()())()))))(()()))((((()))(((())())))),9,0
()))())((()))))()())))((((()()()))))((()(((())(())((()()())((()(,-1,0
((()()))(((())()))(())((()))(()()())(((((()())(((()())(()))))))),8,0
(()(()(((((()())()())))()(()())((()))()))()()((((()(())(())))))),8,0
())(()()()(()()(())())))((())(((()))()))))()()))((((())())))()((,-1,-4
()(())(())()((())())()(()()(()())())((()))(()(()(())(()()(())))),5,0
(())(()(()(())()))(((()(())((())())))((()((())))((()()((()()((((,-10,10
())))()())))(()(()))))()((())))()()()())())(()))()((()())())(()),-1,-12
(((()))))(()((((((()())())())((()))))(())(()(())(((()(()()(((()),-4,8
((()()))(()())(())(())()(()())((((()((())()((())(()())))())()))),8,0
()()(((((())(())((((()()))((())(((((()()(()))))())))))()))()())),14,0
()(((()()())()())())(()()(()()((()))))(())(()(()()(())()))((())),5,0
