sequence,stack_depth,count
)((((())()()()()()()()(((())()))))))(())((()(()(())()(()())((((())(((()()((((()))())))(()((())()())(()()(()((())))((())((((((())()))())())()((())((((())()(()())(()(()()(()))())))(((())()))(())())))(((()()()()(()()))))))()((((())((())()(((()()(()()()((()()((()((()())(((()()((())()()(()(((()))()()()(()(((((())())))((()(()((()()((((())))((())(((()())(()(((((((())()())()(((())())(()))((()()())()))))()))((()((((())())()())))((((())((()))()))((())((()))((((()(()()))())))(())))()((())((()(()(((()(())((()))()()(()),0,46
())))((((()()(())()(()()(((()()))()()())()(()(((())())))((((((())))())(()))(())()))((()))(()()()))))))(()))((((()))))(()()))()())))))()(()))())()(()(())((()(((()()()()())((()(()())()))((())))((()))()())((()(())()))())()()())()(())((())()))))(()()))()()))(((()(()))()())))))(((((()(()()))(((())))(()(()))))((()))))())((()())()()))))))()(()())))((()(()()(()()()(((((()))()(((((()(()(()()((())((())))))()(((((()((())())((()))))(((()()(())(((())()((()))(())))))((((())()())(())((()(()))()))(()(()((((((((((((((())()),-1,2
(())()()(()(()))()(((()()())()))()(()()(()(()(()))))()((((((((())())(()((((((((((()()(((()()())))(())))(((()()())))(()((()((()(()()(((()(()((())))))((((((())))())()(())((((()))(((()(()))()))))))((((()())()))))())(((((()()))()()))((((()())))))())())()))(()))(()))(()()(()(((()))()))((()))((()))(())()())()()()(()(())())))()()((()())()(()()((()(())())(()()()())(((()))))()))(()))(()(()(())))))()))(()(()()))(()())()())((())(()()()(()())()))))))()))()(())()()()(((())))()()(()(()()()(()))()(())()()())(())(())(()()),31,0
)()()))())((((((()))()))))))(((()(())()((()()((((())(((()))()(()(((()(()(())))(((((()(())()))))))()))()(()))((())(()(((())(()((()(())()())()))(()(())))((((()))((()()))(())((()((()(()())()((()))()()((((()())()()))()))))(())()))))())()())())((())((()))())))(()))))(()())())())())(())(((()()())((()))()())((()())(()(())())((()(()())(())())((()((()))(()())))())()((()(((())))))()())(()))())(((()))())))(()((((()((())((((()())))(())()))))(())(()(((())((((()))(())(()(()()())((())(()(()))(())((()()())(()()()()())()()(,0,2
()(()))(()))))))()(())((()))()()))())(((()))((())(())(((((()()(()((())))())((())()(((())()(((((((()(()))((()()((((()))))(((()())(())))()(())())()((()()((()))()))()(())(((())(()(()))))((((()()(()()))(())(()()())(((())(()(())))((())()((())())))())()(((((()))())(()(())()))()))(())))()()()))(((())))(()))()))()())())))()()()(()()()(())()))()))()())))))())())()(())()))()(()())(())((()))))(()())))(()()(())(())(((()(())(()(((((())(()((())())(((())(()(())))))))(()((())(()(()((()))()(()(()()(())(()())())()))((()))))(,-2,-10
))))()())()))())))))((()))))())((((())(()))))))))())()()()()())))(())())())()((())))))((()))())((((()))(()()()()(((()))(()()))(()()())))((()((((()))((())()()()()(()()(()()()())()()()()(()))(((()(((()())()))())((()()((()())((())()()())))()())()(())((()(())(((((())))))(((()()))(()((((())()))(()((())((())())))((((()())))()))()))(()))(()))((()(())((()()()((()(())))())((())))((((()(()())()()())(()())))()))(((())((()(((((()(()((())(((()())))))))(())((((()))((()((())(()()((())())(())(())()))((())()()()()))(((((()),0,-6
))((()))))()))())()(()())()()))))(()()))(())()))(())())())(())(()((())()()))(()(()()()((())()()((()(((()((()))))()()()))))())(()())))((()()(())()(())))())((()())()((()))(((()()(((())()(((())))())())(()))(())(()()))))((()()))((())())()()))()))(()())((((()))(()()))((()())()()(((((())(())(((((())))))())((()()(())))(()(()))(((())()))()()()()()((())((()(()((((()()()))()()(())()(())()))(())()()(())))(())()(((()))(()(()()))(()))()(())))))()()(())()())((()))))))(()(((()()((()(((((()))))))(((((()(()()((()())()())((),0,-12
)(()))(())(((()))()()()(((()()()((((()(()()))))))))()()()(()(((()))(())()))))((()((()()()()))()))((())((((()))())()))())(()))))(())))(()((()())(())(((((()())()))((((()(((())())(()(())))())))(((()()))(((()))(()))(()())((((())()(((()()((()))()(()()((())()((())()))()()((())())))()())))(()())))((())(())))())()())()()()())))()))(()(()())())(((((()()()))((()))((((())(((()()())())))((((()(()()()))(())))()()))((((()((())))()()())))((((()()()())((()()()((()))))()))()())(()))((((())()())(())))())()(()()))))()((())))(,0,-12
()()(()()()())()(()()(((())()()()))())()(())(())()()()()(()())((((())(((()()()((((()(()(((()(()(())()((()(())())()((((((((()))(()((()((((((()()))()()()((()()(()(()(((((()(())())()((()))()()((()))((((())()())(()(()(()))((()))(()((()(()((()())(())()()()))()(()((())(())))()))()()())(((())(())))())))()))(()((()()))()))())(((((()(())))((()()()()))))(((((()())))()()()())())(()()()())(()))((()()()()(((()(()(()(((((())))()))())()(())(()())(())))()()))((((()(((()()))))())(((())))))))))))))))))))))))))))))))))))))))),47,0
(())())(()(((()((()())()(()()()))((()(()((()(((()())()(()(()(()(())(((())))))((((())))(()))((()())(())(()()((()()))()))(()()((())((()()()()((()()())((((())(()(()(()))(()))())()()()))())()(((((())))(()()))(((()()(((()))(((()(((())))(())))))))())(((())))()(((()())(())(())))))())((((()(()()())))))))())(())()((((())()((())()))))()))(()(()()((()((()(()(()((()))((()())(()))))((()((()((((()()))()()()((()))()()()((()()))((()()()((()()()()()((())))()()()())))))()()(()()()(((()))()))()(((())))())()((())((((((((()((((,-2,30
(())()((()(((())))((()()))))(((((((()((())(()(()))()())()))(()(())(()))(((()((((((())())()(((()())))())))())(()()((()((())(((()()()))()())))))(())))))()()()((()))()))()))(()(((()())(()(((()(()())(()()((())))((((()))((())())(()()(()))))(()()((()((()(())))()()())(((())()))))())((()()())))(((()(((((()(()()(()(())(((()(())((((())()))))()()())(()()(()(((((())((((())())((()((()()))))()))(())(()(()()))))(())())())()(())()()((((()))))(()((()()))()))(((()(()()((())))(()((()()(((()((((())))))))))))))))))))))))))))))),31,0
()(()))())(())())()))(((()()))(((()))()))))(())))(()))()())))(()))))))))()()(()()()(()()))()()))()))()((()))))())(())()(()(((((((())(()(()(()(()()()(((((())())())(()())())(())(()(())((()()()((())()((()(()())()((()))())))()(()((((((())(())((()())))))((())((()(()))())))))())()())())(())))((())(()))()(())())))(())))((((())(())()(()())())()))()))()((())(((()())(()((()((()))(()(()))((((()(()))()((()()))())(()(()()))))))(()(()(()()()(())()(())))((()))(((((()(((()()))())(())()()((()(()(((()(())(((())))))()(((()((),-2,-6
)())()(((())())))((((())()())))(())())))))))())((()())())()(()())(()())()(()))())()(()))(())))))())(((()(()))()())()(()))(()(((((((((()())))())(()(())(())))(())()))))((()))()))((()(()))()()()))())))()))()()()(())())(()())()()))((((((((()()))(()(()((()())))()()((()(()((()))(()((((()(())(()()()(()))(()((()(((()()))((()()(())())())(()))(()(()((((()))()(()(()((()((())))(((())))()(()(((()))(((()))(()(()(()))(()((((()))))((((((()))()()()((()())(()())(()()))()))())))((((()(()(()()(())((()))()((()()()((()))))()))((,0,6
()(())()(())()((()(()(())())()(()))())((()((()))()(()()))()(()(((()))()()(())(()())(()()((()(()(()(()(()))()))()((()))))()))(((()((()((()()))((()(())))(())((()(((()))((())))(()))))))())((((()()()()(())))))()())()))(()(()))((((()))(((()()))()))(())()(()))((((((()(()))((()))(((())))()))((())()())())())())(())((()))(()())(()((()()()(()))()((()()))((()(((())))))()()(()))(()()()(())()))()(()()((())()))((()))(((()(((((()())())))(((())))))))()(())((()((()(())))))()()(((()()()())))(()((()(()(((())(())(((()))))))))),13,0
())))(())())))()()(()((()())))(()))(()()(((((())))))(()(())(()())()((()))))))())()(()())))()((()(((()(()))))))()((()((((((()(()(()))(()))()))()()(()(())()())())((()(()()()))))))((())((()((()((())))()()((()))))())(())))()(()(()))))()((((())()))))())()())))()(()(())))(()()))((()())()()(()()))((()(()))(()()(((()(((((()()(()(()(()(())()))))())))))))()))())))(()))))(((())((()()())))))()(())()))()((()()))((()(()(())))))))(()())()())()))))())))((()())(()((()()()))()()())()))()()))))(((()()()))))(()()((())(()(())((,-1,-42
)((((()(()))()))()())())()((()))))((())())()))((())))(()(((()((()))(())))(()())(((())()(())()())())()(((((()))())()())(((())))))()((())))))()(()()))(((()(()))(()((())()(()))())))()))(()()()))()))))()())())()()()((())()()())()()((())(()((()()(((()()))))(()())))())))(())()())(()()(()))(((()()(()((()))(()))()((())())(((()())()((())(((()(())(()(((()()()()((())(()())())))((()))(())))(()))))(())(()(())()(())((()()))()))))()((((())()(()(()))))()(((((()(()()(()))(((()()()()((((()((()))())(()))(((((((((()(()(()))))(,0,0
()())()()(((()()()(())(()()())))()((())()(()))))(()))())()((()(()()(()()))(()((())))(()))()()()()((())(()()()))()())(())())()((())())))))((()))()())))((())))))()(())()(())(()(()))((())(()((()))()))()(()))(()(()(()())())()(()())(())()()((()())))(()((())()()()))(()))(())()))((()(()))))(()())(((()(())((())(())))())))()((())(())()(()(())()()(()))(())(()((()()))(()))((((()()))))())(()()((())()))))))()())()()((()))))(())(((((()(((()(()()())))()()()()(((()()))())()()(()((()))((()))))(()()(((()(()((((()((()(()()()),-1,-12
((()(((()(()()))())(((()(()(()(((((((())(((((())())(()((((()()(()(((()()))))()(()(()())()(()((()))))(()))()()()())()))))()))((())((())())((()())()))((())))(()))))))))(())(())))))(((((()(())(())))(()((())())()()()()())())(((()))))()))(((((())())()())(())()(())))(((((()))))(()((()())()(((()()(())(()))()()()()(())))(()(((()))(())()((()((()()))(()(((())(())()))()(((()))((()((()()))))()()))))()()()))())(()))((())()()(())))((())))()((()()(((())((()()))(((())(())))(()()()))(((()))))()(()))(((((()())(((()))())))))),27,0
()((())()((((()()()))(()()))())(((()()())((((()()()()))((((()()()())((()((((()))))()()(())))(()(())((())()()()(((()()(())))))))(((((()()(()(())))()()))()((()(()))(()()())(()))(()()())((()())(()()))()))(())))((((()))((()())))((((()(()))(())))()()(()((())(())(()))((()())((())(((()(((()(()()))())((()()()((()))))()((((()))))))()))))))())((((((())(()(()(()))()(()())((()())))((())(()(()(((())(()())))))())(()()()()))((((())())()(())()())))(()(()()()()(()((()()())(()))(()))()(()())))))(())))())()(((())))()((()))))),19,0
()()(((()((())((())(())()()))()((()())(()(()()))()))(())))()(()((())()(()()())()))()((()()))((()())()((((()(()()(())(())()(()))(()()((((()()())())())()(())()()())())))()))()((()())(()())((()))()()((())(((()((((()))))((((()))((())()((())))()()(()()))()()()())((()((()())())(()()(()()(())))())))()()))()()())()())((()(()((((()))))()()()))((()((()))))(()()())))()()(((()(())((()())(())))))(((()))()((())()(()()))((((()))(()))))(())()()()()()(()())(()())()((((()())((())())((((()(()))((())(((()(((((()))))))))))))))),16,0
()()(()((()((()()((((())(()())(())))()))))()))((((())())()()))()(()(()))(()((()(()))(()())()))()(()(())()()(()))()()(())()()((((()((()()))((())))))()()())((((((())))))()()())()()((((((())()))((()(()(((())))((()()(())(()())(())))))))))(())(()())((()))()()((((()())(()()()())())))(()(()()())(()))(())((()(()))())()()()(((()()(()()(()()(())()))()()(()))((()())(()))()((((())()()(((((((())())()))()())(())()(((())()((()(((()))((((()))()(()()())))(()()))()((((()))())())(()((()()(((((())))(()((()))()))))))))))))))))),20,0
)()))())())()(()(()()((((()((((())))(((()))(((()(()())()((()((()()))(()())(())())())())))((()(((((()(((()((())()())(()())))))(()()(())(()()())())(((()()(()(()()()())((())((()((()(((((((())((()((((())()((())()()(()(((((()))))(())()(((((()))))))()()(()(())()))((()(((())((()(())((()()())))(()()(((((()())()))()())))()))))()(()))(()()(())()()()))((()((()()(()(()((()()))())))))))(())()()()())(())))(())((())()))((((((()()))(()())(()(((()())))()))())))(())))((()((())(()())((()(()(()))())()((()()))((((()))())(()())),0,26
