String_1,String_2,Language
1dllllllllllllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddlllllllllllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddllllllllllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddlllllllllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddllllllllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddlllllllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddllllllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddlllllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddllllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddlllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddllllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddlllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddddllllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddlllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddddddllllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddlllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddddddddllllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddlllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddddddddddllllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddlllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddddddddddddllllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddlllllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddddddddddddddllllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddlllllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddddddddddddddddllllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddlllll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddddddddddddddddddllll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddlll,llllllllllllllllllllllllllllllll,1d*l*
1dddddddddddddddddddddddddddddll,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddl,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,llllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dlllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddllllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddlllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddllllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddlllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddllllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddlllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddllllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddlllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddllllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddlllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddllllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddlllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddddllllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddddlllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddddddllllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddddddlllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddddddddllllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddddddddlllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddddddddddllllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddddddddddlllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddddddddddddllllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddddddddddddlllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddddddddddddddllllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddddddddddddddlllllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddddddddddddddddllllll,1d*l*
1ddddddddddddddddddddddddddddddd,dddddddddddddddddddddddddddlllll,1d*l*
1ddddddddddddddddddddddddddddddd,ddddddddddddddddddddddddddddllll,1d*l*
