epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss,val_acc,val_loss
0,49,,,,0.515625,0.699537992477417,,
0,93,,,,,,0.5049999952316284,0.6940135359764099
0,93,,,0.4933333396911621,,,,
1,99,,,,0.484375,0.7026405334472656,,
1,149,,,,0.5,0.6931576728820801,,
1,187,,,,,,0.5049999952316284,0.6988695859909058
1,187,,,0.4971666634082794,,,,
2,199,,,,0.484375,0.6949004530906677,,
2,249,,,,0.484375,0.6975287199020386,,
2,281,,,,,,0.5049999952316284,0.6931067109107971
2,281,,,0.4988333284854889,,,,
3,299,,,,0.484375,0.6945616006851196,,
3,349,,,,0.453125,0.6939648389816284,,
3,375,,,,,,0.5049999952316284,0.6933354735374451
3,375,,,0.4938333332538605,,,,
4,399,,,,0.609375,0.6863745450973511,,
4,449,,,,0.4375,0.6967355012893677,,
4,469,,,,,,0.5049999952316284,0.6970732808113098
4,469,,,0.518666684627533,,,,
5,499,,,,0.359375,0.6992182731628418,,
5,549,,,,0.703125,0.6834173202514648,,
5,563,,,,,,0.5049999952316284,0.6932750344276428
5,563,,,0.49033331871032715,,,,
6,599,,,,0.71875,0.671692430973053,,
6,649,,,,0.53125,0.6922101974487305,,
6,657,,,,,,0.4950000047683716,0.6933799982070923
6,657,,,0.5058333277702332,,,,
7,699,,,,0.4375,0.6977506875991821,,
7,749,,,,0.515625,0.69265216588974,,
7,751,,,,,,0.5049999952316284,0.6933027505874634
7,751,,,0.49916666746139526,,,,
8,799,,,,0.578125,0.6930409073829651,,
8,845,,,,,,0.5049999952316284,0.6931228637695312
8,845,,,0.49033331871032715,,,,
9,849,,,,0.40625,0.6933748722076416,,
9,899,,,,0.5,0.6931445598602295,,
9,939,,,,,,0.4950000047683716,0.6931725144386292
9,939,,,0.4855000078678131,,,,
10,940,0.5007500052452087,0.6931481957435608,,,,,
10,940,0.5,0.6931531429290771,,,,,
10,940,0.5,0.6931479573249817,,,,,
10,940,0.5,0.6931465268135071,,,,,
10,940,0.5,0.69315105676651,,,,,
10,940,0.5,0.6931468844413757,,,,,
10,940,0.5,0.6931535005569458,,,,,
10,940,0.5,0.6931465864181519,,,,,
10,940,0.5,0.6931536793708801,,,,,
10,940,0.5,0.6931465864181519,,,,,
10,940,0.5,0.6931514143943787,,,,,
10,940,0.5,0.6931531429290771,,,,,
10,940,0.5,0.6931531429290771,,,,,
